Date,Close,Open,High,Low,Volume
2019-11-12,8812.60,8737.40,8841.20,8615.70,575160.00
2019-11-13,8783.10,8813.20,8829.70,8721.10,454330.00
2019-11-14,8661.20,8782.90,8799.80,8615.80,515430.00
2019-11-15,8476.30,8660.80,8761.80,8437.10,653710.00
2019-11-16,8497.30,8476.20,8532.80,8450.70,471160.00
2019-11-17,8509.80,8497.40,8631.70,8413.00,531220.00
2019-11-18,8208.40,8510.30,8516.30,8110.40,692600.00
2019-11-19,8145.70,8207.70,8245.60,8032.80,654270.00
2019-11-20,8099.30,8145.70,8223.00,8074.20,607270.00
2019-11-21,7627.90,8099.40,8129.60,7519.70,891500.00
2019-11-22,7272.50,7627.90,7700.90,6818.50,1410000.00
2019-11-23,7324.10,7271.60,7342.50,7093.70,783180.00
2019-11-24,6924.70,7325.00,7344.10,6894.90,904500.00
2019-11-25,7115.60,6924.70,7352.80,6534.80,1290000.00
2019-11-26,7162.80,7115.50,7329.50,7045.10,844270.00
2019-11-27,7510.60,7162.80,7636.90,6875.40,996490.00
2019-11-28,7426.70,7510.60,7639.50,7380.60,737580.00
2019-11-29,7742.70,7426.60,7825.30,7412.30,766710.00
2019-11-30,7546.60,7742.70,7787.70,7472.70,650600.00
2019-12-01,7396.40,7546.50,7546.50,7244.40,777000.00
2019-12-02,7298.20,7395.90,7433.80,7173.60,687780.00
2019-12-03,7291.80,7298.10,7389.40,7227.10,548770.00
2019-12-04,7204.40,7291.90,7702.20,7113.60,971750.00
2019-12-05,7399.20,7204.60,7476.30,7184.00,780780.00
2019-12-06,7530.80,7399.20,7552.10,7329.80,706100.00
2019-12-07,7510.90,7530.40,7595.70,7489.60,557140.00
2019-12-08,7524.40,7510.80,7576.40,7416.70,499040.00
2019-12-09,7355.80,7524.80,7626.00,7321.60,648660.00
2019-12-10,7235.70,7356.20,7400.30,7192.10,609500.00
2019-12-11,7208.00,7235.80,7284.40,7168.80,518400.00
2019-12-12,7208.00,7208.00,7272.40,7124.60,611800.00
2019-12-13,7255.20,7208.40,7288.00,7200.30,503490.00
2019-12-14,7080.80,7255.20,7267.40,7043.30,524560.00
2019-12-15,7128.50,7080.80,7175.80,7033.80,492580.00
2019-12-16,6903.50,7128.50,7153.10,6864.60,689560.00
2019-12-17,6613.30,6903.50,6943.50,6575.00,894550.00
2019-12-18,7276.00,6613.50,7387.70,6462.20,1140000.00
2019-12-19,7165.50,7276.40,7354.00,7039.30,778720.00
2019-12-20,7196.40,7165.50,7218.40,7107.70,627040.00
2019-12-21,7156.20,7196.40,7197.60,7129.60,468740.00
2019-12-22,7495.80,7156.30,7501.10,7142.00,677940.00
2019-12-23,7322.80,7496.20,7684.00,7276.20,952160.00
2019-12-24,7268.30,7322.40,7433.20,7185.70,785540.00
2019-12-25,7224.80,7268.30,7542.40,7150.90,625410.00
2019-12-26,7210.90,7225.00,7414.30,7177.30,795090.00
2019-12-27,7261.70,7210.80,7293.80,7128.50,718070.00
2019-12-28,7321.50,7261.90,7375.90,7256.50,610960.00
2019-12-29,7397.50,7321.60,7518.90,7303.00,611690.00
2019-12-30,7261.80,7397.50,7420.90,7244.10,606110.00
2019-12-31,7196.40,7261.50,7331.00,7167.40,586600.00
2020-01-01,7199.80,7196.40,7259.40,7180.00,420280.00
2020-01-02,6967.00,7199.70,7209.60,6901.40,632780.00
2020-01-03,7343.10,6967.10,7402.90,6884.10,936290.00
2020-01-04,7376.80,7345.10,7433.10,7291.40,523910.00
